hosp rate,0.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date,optimistic,pessimistic,,new_death,17_day_lag,new_cases,will_need_hosp,hosp_day_1,real_hosp,hosp_delta,hosp_disch,new_hosp,,
2020-03-19,,,1,1,19,1377,69,,7,,,,,
2020-03-20,,,1,0,27,1957,98,,10,3,,,,
2020-03-21,,,4,3,29,2101,105,,20,10,,,,
2020-03-22,,,4,0,69,5012,251,,24,4,,,,
2020-03-23,,,4,0,60,4350,218,,45,21,,,,
2020-03-24,,,4,0,60,4350,218,,67,22,,,,
2020-03-25,,,6,2,74,5329,266,,78,11,,,,
2020-03-26,,,8,2,46,3345,167,,106,28,,,,
2020-03-27,,,18,10,74,5329,266,,141,35,-2,37,,
2020-03-28,,,22,4,55,4007,200,,164,23,-7,30,,
2020-03-29,,,22,0,36,2631,132,,192,28,-3,31,,
2020-03-30,,,25,3,49,3523,176,,235,43,-15,58,,
2020-03-31,,,31,6,54,3919,196,,286,51,-15,66,,
2020-04-01,,,33,2,60,4313,216,,307,21,-8,29,,
2020-04-02,,,36,3,58,4205,210,69,365,58,-20,78,,
2020-04-03,,,61,25,122,8833,442,98,441,76,-25,101,-26,
2020-04-04,,,75,14,137,9957,498,105,525,84,-16,100,-21,
2020-04-05,,,94,19,177,12800,640,251,533,8,-20,28,-22,
2020-04-06,,,121,27,191,13805,690,218,583,50,-30,80,-40,
2020-04-07,30,1400,150,29,67,4866,243,218,,,-36,,-46,135
2020-04-08,77,1700,219,69,49,3544,177,266,,,-15,,-20,232
2020-04-09,114,2000,279,60,118,8516,426,167,,,-41,,-54,72
2020-04-10,151,2300,339,60,76,5541,277,266,,,-53,,-70,143
2020-04-11,198,2650,413,74,49,3557,178,200,,,-59,,-70,71
2020-04-12,215,3000,459,46,39,2803,140,132,,,-6,,-19,107
2020-04-13,262,3350,532,74,60,4335,217,176,,,-35,,-56,85
2020-04-14,289,3700,588,55,0,,,196,,,,,,196
2020-04-15,300,4000,624,36,0,,,216,,,,,,216
2020-04-16,312,4430,673,49,0,,,210,,,,,,210
2020-04-17,330,4860,727,54,0,,,442,,,,,,442
2020-04-18,353,5300,786,60,0,,,498,,,,,,498
2020-04-19,383,5650,844,58,0,,,640,,,,,,640
2020-04-20,483,6000,966,122,0,,,690,,,,,,690
2020-04-21,600,6350,1104,137,0,,,243,,,,,,243
2020-04-22,760,6700,1280,177,,,,177,,,,,,177
2020-04-23,940,7000,1471,191,,,,426,,,,,,426
2020-04-24,980,7350,1538,67,,,,277,,,,,,277
2020-04-25,1000,7700,1587,49,,,,178,,,,,,178
2020-04-26,1100,8000,1704,118,,,,140,,,,,,140
2020-04-27,1155,8300,1781,76,,,,217,,,,,,217
2020-04-28,1180,8600,1830,49,,,,,,,,,,
2020-04-29,1208,8750,1869,39,,,,,,,,,,
2020-04-30,1263,8860,1928,60,,,,,,,,,,
